,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,HQ_Pass
18246,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,3:02,5,5,0,2,Olympic (Women) - Canada,Halli Krzyzaniak,Play,9,17,Indirect,,,,Jocelyne Larocque,6.0,44.0,182,18247,Away Team,191,194.0,68,41.0,27.16615541,2,Lead,"[1, 1]",1,1,Even,Yes
18247,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:57,5,5,0,2,Olympic (Women) - Canada,Jocelyne Larocque,Incomplete Play,53,2,Direct,,,,Laura Stacey,91.0,31.0,177,18248,Away Team,147,109.0,83,54.0,47.80167361,2,Lead,"[5, 5]",5,5,Even,No
18250,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:46,5,5,0,2,Olympic (Women) - United States,Alex Carpenter,Play,16,72,Direct,,,,Amanda Kessel,50.0,84.0,166,18251,Home Team,16,50.0,72,84.0,36.05551275,-2,Trail,"[3, 3]",3,3,Even,Yes
18251,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:45,5,5,0,2,Olympic (Women) - United States,Amanda Kessel,Play,57,79,Direct,,,,Sidney Morin,63.0,26.0,165,18252,Home Team,57,63.0,79,26.0,53.33854141,-2,Trail,"[1, 1]",1,1,Even,Yes
18254,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:37,5,5,0,2,Olympic (Women) - Canada,Brigette Lacquette,Play,19,33,Direct,,,,Jamie Lee Rattray,49.0,7.0,157,18255,Away Team,181,151.0,52,78.0,39.69886648,2,Lead,"[2, 2]",2,2,Even,No
18257,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:33,5,5,0,2,Olympic (Women) - United States,Lee Stecklein,Play,64,57,Direct,,,,Amanda Kessel,86.0,28.0,153,18258,Home Team,64,86.0,57,28.0,36.40054945,-2,Trail,"[1, 1]",1,1,Even,Yes
18258,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:32,5,5,0,2,Olympic (Women) - United States,Amanda Kessel,Play,83,31,Direct,,,,Dani Cameranesi,97.0,19.0,152,18259,Home Team,83,97.0,31,19.0,18.43908891,-2,Trail,"[1, 1]",1,1,Even,No
18259,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:30,5,5,0,2,Olympic (Women) - United States,Dani Cameranesi,Incomplete Play,97,19,Direct,,,,Alex Carpenter,112.0,5.0,150,18260,Home Team,97,112.0,19,5.0,20.51828453,-2,Trail,"[2, 2]",2,2,Even,No
18261,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:29,5,5,0,2,Olympic (Women) - Canada,Halli Krzyzaniak,Incomplete Play,63,77,Indirect,,,,Blayre Turnbull,72.0,83.0,149,18262,Away Team,137,128.0,8,2.0,10.81665383,2,Lead,"[0, 0]",0,0,Even,No
18263,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:26,5,5,0,2,Olympic (Women) - United States,Dani Cameranesi,Play,113,2,Direct,,,,Sidney Morin,86.0,60.0,146,18264,Home Team,113,86.0,2,60.0,63.97655821,-2,Trail,"[1, 1]",1,1,Even,Yes
18264,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:25,5,5,0,2,Olympic (Women) - United States,Sidney Morin,Play,89,68,Direct,,,,Lee Stecklein,82.0,25.0,145,18265,Home Team,89,82.0,68,25.0,43.56604182,-2,Trail,"[1, 1]",1,1,Even,Yes
18265,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:23,5,5,0,2,Olympic (Women) - United States,Lee Stecklein,Play,87,23,Direct,,,,Amanda Kessel,117.0,4.0,143,18266,Home Team,87,117.0,23,4.0,35.51056181,-2,Trail,"[2, 2]",2,2,Even,Yes
18267,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:22,5,5,0,2,Olympic (Women) - United States,Amanda Kessel,Incomplete Play,137,2,Indirect,,,,Dani Cameranesi,188.0,34.0,142,18268,Home Team,137,188.0,2,34.0,60.20797289,-2,Trail,"[0, 0]",0,0,Even,No
18269,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:21,5,5,0,2,Olympic (Women) - Canada,Brigette Lacquette,Incomplete Play,3,52,Indirect,,,,Jillian Saulnier,13.0,29.0,141,18270,Away Team,197,187.0,33,56.0,25.07987241,2,Lead,"[0, 0]",0,0,Even,No
18271,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:17,5,5,0,2,Olympic (Women) - United States,Alex Carpenter,Play,169,85,Direct,,,,Sidney Morin,134.0,80.0,137,18272,Home Team,169,134.0,85,80.0,35.35533906,-2,Trail,"[1, 1]",1,1,Even,Yes
18274,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:13,5,5,0,2,Olympic (Women) - United States,Amanda Kessel,Play,153,55,Direct,,,,Alex Carpenter,158.0,70.0,133,18275,Home Team,153,158.0,55,70.0,15.8113883,-2,Trail,"[1, 1]",1,1,Even,Yes
18275,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:11,6,5,0,2,Olympic (Women) - United States,Alex Carpenter,Play,158,70,Direct,,,,Sidney Morin,133.0,71.0,131,18276,Home Team,158,133.0,70,71.0,25.01999201,-2,Trail,"[2, 2]",2,2,Advantage,Yes
18279,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,2:07,6,5,0,2,Olympic (Women) - Canada,Brianne Jenner,Play,8,14,Indirect,,,,Jillian Saulnier,51.0,2.0,127,18280,Away Team,192,149.0,71,83.0,44.64302857,2,Lead,"[1, 1]",1,1,Shorthanded,No
18284,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:53,6,5,0,2,Olympic (Women) - United States,Hayley Scamurra,Play,193,73,Direct,,,,Kendall Coyne Schofield,182.0,67.0,113,18285,Home Team,193,182.0,73,67.0,12.52996409,-2,Trail,"[6, 6]",6,6,Advantage,Yes
18285,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:51,6,5,0,2,Olympic (Women) - United States,Kendall Coyne Schofield,Play,191,68,Indirect,,,,Brianna Decker,184.0,80.0,111,18286,Home Team,191,184.0,68,80.0,13.89244399,-2,Trail,"[2, 2]",2,2,Advantage,Yes
18286,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:50,6,5,0,2,Olympic (Women) - United States,Brianna Decker,Play,184,80,Indirect,,,,Kacey Bellamy,131.0,82.0,110,18287,Home Team,184,131.0,80,82.0,53.03772242,-2,Trail,"[1, 1]",1,1,Advantage,Yes
18287,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:48,6,5,0,2,Olympic (Women) - United States,Kacey Bellamy,Play,133,67,Direct,,,,Hannah Brandt,131.0,24.0,108,18288,Home Team,133,131.0,67,24.0,43.0464865,-2,Trail,"[2, 2]",2,2,Advantage,Yes
18288,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:45,6,5,0,2,Olympic (Women) - United States,Hannah Brandt,Play,136,7,Indirect,,,,Kacey Bellamy,128.0,84.0,105,18289,Home Team,136,128.0,7,84.0,77.41446893,-2,Trail,"[3, 3]",3,3,Advantage,Yes
18289,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:41,6,5,0,2,Olympic (Women) - United States,Kacey Bellamy,Play,128,84,Indirect,,,,Kendall Coyne Schofield,141.0,81.0,101,18290,Home Team,128,141.0,84,81.0,13.34166406,-2,Trail,"[4, 4]",4,4,Advantage,Yes
18292,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:35,6,5,0,2,Olympic (Women) - United States,Hannah Brandt,Incomplete Play,137,82,Indirect,,,,Hilary Knight,197.0,59.0,95,18293,Home Team,137,197.0,82,59.0,64.25729531,-2,Trail,"[0, 0]",0,0,Advantage,No
18294,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:34,6,5,0,2,Olympic (Women) - Canada,Brigette Lacquette,Incomplete Play,3,18,Indirect,,,,Jillian Saulnier,29.0,74.0,94,18295,Away Team,197,171.0,67,11.0,61.74139616,2,Lead,"[0, 0]",0,0,Shorthanded,No
18297,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:26,6,5,0,2,Olympic (Women) - United States,Hayley Scamurra,Play,172,4,Indirect,,,,Hilary Knight,198.0,23.0,86,18298,Home Team,172,198.0,4,23.0,32.20248438,-2,Trail,"[1, 1]",1,1,Advantage,Yes
18298,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:25,6,5,0,2,Olympic (Women) - United States,Hilary Knight,Play,196,24,Direct,,,,Hannah Brandt,187.0,35.0,85,18299,Home Team,196,187.0,24,35.0,14.2126704,-2,Trail,"[1, 1]",1,1,Advantage,Yes
18301,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:21,6,5,0,2,Olympic (Women) - Canada,Halli Krzyzaniak,Play,1,40,Direct,,,,Brigette Lacquette,3.0,48.0,81,18302,Away Team,199,197.0,45,37.0,8.246211251,2,Lead,"[1, 1]",1,1,Shorthanded,No
18304,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:19,6,5,0,2,Olympic (Women) - United States,Brianna Decker,Play,134,16,Direct,,,,Kacey Bellamy,137.0,61.0,79,18305,Home Team,134,137.0,16,61.0,45.09988914,-2,Trail,"[0, 0]",0,0,Advantage,Yes
18307,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:16,6,5,0,2,Olympic (Women) - United States,Kacey Bellamy,Incomplete Play,137,84,Indirect,,,,Hayley Scamurra,147.0,83.0,76,18308,Home Team,137,147.0,84,83.0,10.04987562,-2,Trail,"[0, 0]",0,0,Advantage,No
18309,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:12,6,5,0,2,Olympic (Women) - United States,Hannah Brandt,Play,117,69,Direct,,,,Hilary Knight,119.0,26.0,72,18310,Home Team,117,119.0,69,26.0,43.0464865,-2,Trail,"[0, 0]",0,0,Advantage,Yes
18311,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:09,6,5,0,2,Olympic (Women) - United States,Hilary Knight,Incomplete Play,136,9,Direct,,,,Hayley Scamurra,160.0,45.0,69,18312,Home Team,136,160.0,9,45.0,43.26661531,-2,Trail,"[1, 1]",1,1,Advantage,No
18313,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:06,6,5,0,2,Olympic (Women) - Canada,Rebecca Johnston,Play,29,24,Direct,,,,Brianne Jenner,16.0,30.0,66,18314,Away Team,171,184.0,61,55.0,14.31782106,2,Lead,"[0, 0]",0,0,Shorthanded,Yes
18315,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,1:01,6,5,0,2,Olympic (Women) - Canada,Laura Fortino,Incomplete Play,5,22,Direct,,,,Halli Krzyzaniak,9.0,31.0,61,18316,Away Team,195,191.0,63,54.0,9.848857802000001,2,Lead,"[0, 0]",0,0,Shorthanded,No
18317,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:57,6,5,0,2,Olympic (Women) - United States,Hilary Knight,Play,198,37,Direct,,,,Kendall Coyne Schofield,197.0,48.0,57,18318,Home Team,198,197.0,37,48.0,11.04536102,-2,Trail,"[3, 3]",3,3,Advantage,No
18318,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:56,6,5,0,2,Olympic (Women) - United States,Kendall Coyne Schofield,Incomplete Play,197,48,Direct,,,,Hayley Scamurra,161.0,54.0,56,18319,Home Team,197,161.0,48,54.0,36.49657518,-2,Trail,"[1, 1]",1,1,Advantage,No
18323,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:46,6,5,0,2,Olympic (Women) - United States,Kacey Bellamy,Incomplete Play,128,2,Indirect,,,,Dani Cameranesi,165.0,56.0,46,18324,Home Team,128,165.0,2,56.0,65.4599114,-2,Trail,"[0, 0]",0,0,Advantage,No
18325,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:41,6,5,0,2,Olympic (Women) - Canada,Renata Fast,Incomplete Play,4,25,Indirect,,,,Ann-Sophie Bettez,25.0,5.0,41,18326,Away Team,196,175.0,60,80.0,29.0,2,Lead,"[1, 1]",1,1,Shorthanded,No
18327,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:35,6,5,0,2,Olympic (Women) - Canada,Marie-Philip Poulin,Incomplete Play,9,9,Direct,,,,Ann-Sophie Bettez,18.0,5.0,35,18328,Away Team,191,182.0,76,80.0,9.848857802000001,2,Lead,"[4, 4]",4,4,Shorthanded,No
18329,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:34,6,5,0,2,Olympic (Women) - United States,Alex Carpenter,Play,175,83,Direct,,,,Sidney Morin,130.0,83.0,34,18330,Home Team,175,130.0,83,83.0,45.0,-2,Trail,"[0, 0]",0,0,Advantage,Yes
18334,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:27,6,5,0,2,Olympic (Women) - Canada,Renata Fast,Incomplete Play,3,42,Indirect,,,,Laura Fortino,25.0,70.0,27,18335,Away Team,197,175.0,43,15.0,35.60898763,2,Lead,"[3, 3]",3,3,Shorthanded,No
18339,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:21,6,5,0,2,Olympic (Women) - United States,Gigi Marvin,Incomplete Play,140,4,Direct,,,,Sidney Morin,150.0,4.0,21,18340,Home Team,140,150.0,4,4.0,10.0,-2,Trail,"[1, 1]",1,1,Advantage,No
18351,2/17/2019,Olympic (Women) - United States,Olympic (Women) - Canada,3,0:06,6,5,0,2,Olympic (Women) - United States,Sidney Morin,Incomplete Play,186,38,Direct,,,,Dani Cameranesi,176.0,46.0,6,18352,Home Team,186,176.0,38,46.0,12.80624847,-2,Trail,"[1, 1]",1,1,Advantage,No
18355,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:58,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Play,100,71,Indirect,,,,Natalie Spooner,120.0,75.0,1198,18356,Away Team,100,80.0,14,10.0,20.39607805,0,Tied,"[1, 1]",1,1,Even,Yes
18362,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:44,5,5,0,0,Olympic (Women) - United States,Megan Bozek,Incomplete Play,83,80,Indirect,,,,Brianna Decker,118.0,79.0,1184,18363,Home Team,83,118.0,80,79.0,35.0142828,0,Tied,"[0, 0]",0,0,Even,No
18364,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:34,5,5,0,0,Olympic (Women) - United States,Kendall Coyne Schofield,Play,193,64,Indirect,,,,Megan Bozek,135.0,81.0,1174,18365,Home Team,193,135.0,64,81.0,60.44005295,0,Tied,"[7, 7]",7,7,Even,No
18365,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:32,5,5,0,0,Olympic (Women) - United States,Megan Bozek,Incomplete Play,135,81,Direct,,,,Kendall Coyne Schofield,181.0,77.0,1172,18366,Home Team,135,181.0,81,77.0,46.17358552,0,Tied,"[2, 2]",2,2,Even,No
18367,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:29,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Play,64,2,Direct,,,,Sarah Nurse,106.0,4.0,1169,18368,Away Team,136,94.0,83,81.0,42.04759208,0,Tied,"[2, 2]",2,2,Even,No
18370,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:24,5,5,0,0,Olympic (Women) - United States,Alex Cavalini,Play,2,42,Indirect,,,,Annie Pankowski,17.0,80.0,1164,18371,Home Team,2,17.0,42,80.0,40.85339643,0,Tied,"[1, 1]",1,1,Even,Yes
18371,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:21,5,5,0,0,Olympic (Women) - United States,Annie Pankowski,Play,40,81,Direct,,,,Brianna Decker,60.0,82.0,1161,18372,Home Team,40,60.0,81,82.0,20.02498439,0,Tied,"[3, 3]",3,3,Even,Yes
18375,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,19:07,5,5,0,0,Olympic (Women) - Canada,Loren Gabel,Incomplete Play,89,10,Direct,,,,Brianne Jenner,100.0,26.0,1147,18376,Away Team,111,100.0,75,59.0,19.41648784,0,Tied,"[4, 4]",4,4,Even,No
18383,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:55,5,5,0,0,Olympic (Women) - United States,Dani Cameranesi,Play,24,2,Indirect,,,,Megan Keller,1.0,24.0,1135,18384,Home Team,24,1.0,2,24.0,31.82766093,0,Tied,"[0, 0]",0,0,Even,Yes
18384,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:52,5,5,0,0,Olympic (Women) - United States,Megan Keller,Play,5,39,Direct,,,,Cayla Barnes,5.0,62.0,1132,18385,Home Team,5,5.0,39,62.0,23.0,0,Tied,"[3, 3]",3,3,Even,Yes
18385,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:51,5,5,0,0,Olympic (Women) - United States,Cayla Barnes,Play,9,67,Direct,,,,Hilary Knight,46.0,81.0,1131,18386,Home Team,9,46.0,67,81.0,39.56008089,0,Tied,"[1, 1]",1,1,Even,Yes
18389,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:43,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,3,39,Direct,,,,Ann-Sophie Bettez,9.0,68.0,1123,18390,Away Team,197,191.0,46,17.0,29.61418579,0,Tied,"[1, 1]",1,1,Even,Yes
18390,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:39,5,5,0,0,Olympic (Women) - Canada,Ann-Sophie Bettez,Play,32,82,Indirect,,,,Loren Gabel,78.0,79.0,1119,18391,Away Team,168,122.0,3,6.0,46.09772229,0,Tied,"[4, 4]",4,4,Even,Yes
18391,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:38,5,5,0,0,Olympic (Women) - Canada,Loren Gabel,Play,78,79,Direct,,,,Ann-Sophie Bettez,61.0,84.0,1118,18392,Away Team,122,139.0,6,1.0,17.72004515,0,Tied,"[1, 1]",1,1,Even,Yes
18392,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:36,5,5,0,0,Olympic (Women) - Canada,Ann-Sophie Bettez,Play,70,84,Direct,,,,Brigette Lacquette,49.0,78.0,1116,18393,Away Team,130,151.0,1,7.0,21.84032967,0,Tied,"[2, 2]",2,2,Even,Yes
18393,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:34,5,5,0,0,Olympic (Women) - Canada,Brigette Lacquette,Play,50,71,Direct,,,,Mich Zandee-Hart,56.0,18.0,1114,18394,Away Team,150,144.0,14,67.0,53.33854141,0,Tied,"[2, 2]",2,2,Even,Yes
18397,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:28,5,5,0,0,Olympic (Women) - Canada,Jillian Saulnier,Incomplete Play,167,83,Indirect,,,,Rebecca Johnston,195.0,50.0,1108,18398,Away Team,33,5.0,2,35.0,43.27817002,0,Tied,"[0, 0]",0,0,Even,No
18400,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:22,5,5,0,0,Olympic (Women) - United States,Megan Keller,Incomplete Play,14,7,Indirect,,,,Amanda Kessel,34.0,1.0,1102,18401,Home Team,14,34.0,7,1.0,20.88061302,0,Tied,"[0, 0]",0,0,Even,No
18402,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:20,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Play,152,83,Indirect,,,,Jillian Saulnier,165.0,83.0,1100,18403,Away Team,48,35.0,2,2.0,13.0,0,Tied,"[0, 0]",0,0,Even,Yes
18403,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:18,5,5,0,0,Olympic (Women) - Canada,Jillian Saulnier,Play,143,70,Direct,,,,Melodie Daoust,174.0,76.0,1098,18404,Away Team,57,26.0,15,9.0,31.57530681,0,Tied,"[2, 2]",2,2,Even,Yes
18404,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:16,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Incomplete Play,176,63,Direct,,,,Rebecca Johnston,174.0,37.0,1096,18405,Away Team,24,26.0,22,48.0,26.07680962,0,Tied,"[2, 2]",2,2,Even,No
18406,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:14,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Play,173,5,Indirect,,,,Melodie Daoust,195.0,26.0,1094,18407,Away Team,27,5.0,80,59.0,30.41381265,0,Tied,"[0, 0]",0,0,Even,Yes
18408,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,18:04,5,5,0,0,Olympic (Women) - Canada,Rebecca Johnston,Play,182,9,Direct,,,,Jillian Saulnier,169.0,26.0,1084,18409,Away Team,18,31.0,76,59.0,21.40093456,0,Tied,"[2, 2]",2,2,Even,Yes
18411,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:59,5,5,0,0,Olympic (Women) - United States,Dani Cameranesi,Incomplete Play,50,4,Indirect,,,,Amanda Kessel,103.0,17.0,1079,18412,Home Team,50,103.0,4,17.0,54.5710546,0,Tied,"[2, 2]",2,2,Even,No
18419,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:49,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Incomplete Play,162,4,Indirect,,,,Jamie Lee Rattray,186.0,12.0,1069,18420,Away Team,38,14.0,81,73.0,25.29822128,0,Tied,"[0, 0]",0,0,Even,No
18421,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:45,5,5,0,0,Olympic (Women) - United States,Lee Stecklein,Incomplete Play,20,11,Direct,,,,Kelly Pannek,42.0,32.0,1065,18422,Home Team,20,42.0,11,32.0,30.41381265,0,Tied,"[2, 2]",2,2,Even,No
18423,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:41,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Play,82,83,Direct,,,,Laura Fortino,70.0,17.0,1061,18424,Away Team,118,130.0,2,68.0,67.08203932,0,Tied,"[0, 0]",0,0,Even,Yes
18424,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:39,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Play,77,20,Direct,,,,Laura Stacey,92.0,27.0,1059,18425,Away Team,123,108.0,65,58.0,16.55294536,0,Tied,"[2, 2]",2,2,Even,No
18425,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:39,5,5,0,0,Olympic (Women) - Canada,Laura Stacey,Incomplete Play,92,27,Direct,,,,Blayre Turnbull,110.0,31.0,1059,18426,Away Team,108,90.0,58,54.0,18.43908891,0,Tied,"[0, 0]",0,0,Even,No
18427,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:38,5,5,0,0,Olympic (Women) - United States,Lee Stecklein,Play,70,54,Direct,,,,Kelly Pannek,82.0,60.0,1058,18428,Home Team,70,82.0,54,60.0,13.41640786,0,Tied,"[0, 0]",0,0,Even,Yes
18428,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:37,5,5,0,0,Olympic (Women) - United States,Kelly Pannek,Play,82,60,Direct,,,,Alex Carpenter,84.0,53.0,1057,18429,Home Team,82,84.0,60,53.0,7.280109888999999,0,Tied,"[1, 1]",1,1,Even,No
18429,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:36,5,5,0,0,Olympic (Women) - United States,Alex Carpenter,Play,84,53,Direct,,,,Sydney Brodt,101.0,51.0,1056,18430,Home Team,84,101.0,53,51.0,17.11724277,0,Tied,"[1, 1]",1,1,Even,No
18434,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:25,5,5,0,0,Olympic (Women) - United States,Lee Stecklein,Incomplete Play,12,7,Indirect,,,,Alex Carpenter,62.0,1.0,1045,18435,Home Team,12,62.0,7,1.0,50.35871325,0,Tied,"[4, 4]",4,4,Even,No
18436,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:23,5,5,0,0,Olympic (Women) - United States,Hayley Scamurra,Play,54,17,Direct,,,,Emily Pfalzer,51.0,39.0,1043,18437,Home Team,54,51.0,17,39.0,22.20360331,0,Tied,"[1, 1]",1,1,Even,Yes
18437,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:21,5,5,0,0,Olympic (Women) - United States,Emily Pfalzer,Incomplete Play,69,60,Direct,,,,Sydney Brodt,113.0,77.0,1041,18438,Home Team,69,113.0,60,77.0,47.16990566,0,Tied,"[2, 2]",2,2,Even,No
18441,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:13,5,5,0,0,Olympic (Women) - Canada,Blayre Turnbull,Play,4,30,Direct,,,,Erin Ambrose,16.0,74.0,1033,18442,Away Team,196,184.0,55,11.0,45.607017,0,Tied,"[1, 1]",1,1,Even,No
18442,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:10,5,5,0,0,Olympic (Women) - Canada,Erin Ambrose,Incomplete Play,48,80,Direct,,,,Blayre Turnbull,62.0,61.0,1030,18443,Away Team,152,138.0,5,24.0,23.60084744,0,Tied,"[3, 3]",3,3,Even,No
18446,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:04,5,5,0,0,Olympic (Women) - Canada,Jocelyne Larocque,Incomplete Play,9,72,Indirect,,,,Jamie Lee Rattray,28.0,7.0,1024,18447,Away Team,191,172.0,13,78.0,67.72001181,0,Tied,"[0, 0]",0,0,Even,No
18448,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,17:01,5,5,0,0,Olympic (Women) - United States,Kacey Bellamy,Incomplete Play,155,84,Indirect,,,,Melissa Samoskevich,169.0,80.0,1021,18449,Home Team,155,169.0,84,80.0,14.56021978,0,Tied,"[0, 0]",0,0,Even,No
18450,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,16:56,5,5,0,0,Olympic (Women) - Canada,Jocelyne Larocque,Play,4,55,Indirect,,,,Natalie Spooner,28.0,83.0,1016,18451,Away Team,196,172.0,30,2.0,36.87817783,0,Tied,"[2, 2]",2,2,Even,No
18451,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,16:55,5,5,0,0,Olympic (Women) - Canada,Natalie Spooner,Incomplete Play,28,83,Direct,,,,Blayre Turnbull,46.0,73.0,1015,18452,Away Team,172,154.0,2,12.0,20.59126028,0,Tied,"[1, 1]",1,1,Even,No
18453,4/6/2019,Olympic (Women) - United States,Olympic (Women) - Canada,1,16:50,5,5,0,0,Olympic (Women) - United States,Melissa Samoskevich,Incomplete Play,140,1,Indirect,,,,Sydney Brodt,155.0,2.0,1010,18454,Home Team,140,155.0,1,2.0,15.03329638,0,Tied,"[2, 2]",2,2,Even,No
